100
2, 15
9, 12
9, 3)
5, 4
1, 2
1, 14
1, 8
4, 7
9, 12
6, 11
7, 4
1, 7
4, 4
10, 6
4, 10
2, 11
9, 9
8, 13
10, 12
7, 7
2, 1
7, 12
10, 14
1, 12
8, 10
6, 14
3, 11
8, 14
8, 3
7, 5
7, 1
1, 3
1, 2
9, 8
1, 5
2, 6
7, 12
7, 14
2, 15
4, 13
1, 8
2, 11
9, 8
6, 9
9, 1
10, 6
2, 2
5, 9
6, 3
10, 12
5, 15
7, 4
2, 2
4, 13
10, 4
4, 1
3, 15
4, 7
10, 10
1, 1
1, 8
2, 4
7, 10
9, 11
3, 4
7, 2
1, 11
9, 4
10, 1
6, 9
4, 14
3, 7
2, 9
7, 13
2, 7
9, 14
8, 3
4, 8
6, 15
6, 4
6, 8
1, 15
1, 2
8, 1
7, 5
5, 6
4, 13
9, 15
10, 10
8, 12
5, 1
5, 11
3, 11
7, 14
5, 6
4, 8
8, 13
6, 1
1, 14
2, 12
1, 6
8, 14
10, 6
10, 3
4, 6
3, 12
1, 1
1, 15
3, 10
5, 8
1, 14
7, 1
9, 7
10, 6
6, 10
3, 9
7, 13
2, 7
4, 9
4, 8
