200
18, 40
27, 33
38, 44
48, 31
6, 17
24, 39
50, 10
17, 21
36, 26
14, 17
48, 31
7, 19
14, 14
12, 53
32, 26
1, 48
49, 19
10, 3
4, 1
45, 39
10, 5
34, 16
32, 16
49, 17
45, 53
48, 22
49, 53
25, 47
29, 35
29, 30
8, 38
35, 16
11, 4
7, 47
13, 4
47, 8
15, 5
42, 54
13, 43
22, 47
13, 54
50, 39
16, 48
20, 14
27, 48
47, 21
48, 44
5, 34
2, 42
38, 37
39, 23
4, 13
4, 23
17, 25
50, 21
19, 24
27, 14
28, 36
34, 59
50, 11
50, 22
22, 38
14, 44
2, 4
25, 14
17, 37
15, 2
14, 46
38, 31
9, 42
47, 16
19, 18
36, 50
10, 56
29, 19
10, 14
43, 59
36, 26
46, 15
31, 26
47, 23
3, 37
50, 34
17, 48
13, 28
25, 22
5, 35
11, 53
41, 22
14, 44
34, 13
49, 6
44, 17
34, 6
46, 23
48, 21
38, 38
12, 50
40, 53
13, 11
